ds,y
2022-02-02,150.24031007751938
2022-02-03,150.5981912144703
2022-02-04,150.9560723514212
2022-02-05,151.3139534883721
2022-02-06,151.671834625323
2022-02-07,152.0297157622739
2022-02-08,152.3875968992248
2022-02-09,152.7454780361757
2022-02-10,153.10335917312662
2022-02-11,153.46124031007753
2022-02-12,153.81912144702844
2022-02-13,154.17700258397932
2022-02-14,154.53488372093022
2022-02-15,154.89276485788113
2022-02-16,155.25064599483204
2022-02-17,155.60852713178295
2022-02-18,155.96640826873386
2022-02-19,156.32428940568477
2022-02-20,156.68217054263565
2022-02-21,157.04005167958655
2022-02-22,157.39793281653746
2022-02-23,157.75581395348837
2022-02-24,158.11369509043928
2022-02-25,158.4715762273902
2022-02-26,158.8294573643411
2022-02-27,159.187338501292
2022-02-28,159.54521963824288
2022-03-01,159.9031007751938
2022-03-02,160.2609819121447
2022-03-03,160.6188630490956
2022-03-04,160.97674418604652
2022-03-05,161.33462532299743
2022-03-06,161.69250645994833
2022-03-07,162.0503875968992
2022-03-08,162.40826873385012
2022-03-09,162.76614987080103
2022-03-10,163.12403100775194
2022-03-11,163.48191214470285
2022-03-12,163.83979328165375
2022-03-13,164.19767441860466
2022-03-14,164.55555555555554
2022-03-15,164.91343669250645
2022-03-16,165.27131782945736
2022-03-17,165.62919896640827
2022-03-18,165.98708010335918
2022-03-19,166.34496124031008
2022-03-20,166.702842377261
2022-03-21,167.0607235142119
2022-03-22,167.41860465116278
2022-03-23,167.7764857881137
2022-03-24,168.1343669250646
2022-03-25,168.4922480620155
2022-03-26,168.8501291989664
2022-03-27,169.20801033591732
2022-03-28,169.56589147286823
2022-03-29,169.9237726098191
2022-03-30,170.28165374677002
2022-03-31,170.63953488372093
2022-04-01,170.99741602067184
2022-04-02,171.35529715762274
2022-04-03,171.71317829457365
2022-04-04,172.07105943152456
2022-04-05,172.42894056847544
2022-04-06,172.78682170542635
2022-04-07,173.14470284237726
2022-04-08,173.50258397932816
2022-04-09,173.86046511627907
2022-04-10,174.21834625322998
2022-04-11,174.5762273901809
2022-04-12,174.9341085271318
2022-04-13,175.29198966408268
2022-04-14,175.6498708010336
2022-04-15,176.0077519379845
2022-04-16,176.3656330749354
2022-04-17,176.7235142118863
2022-04-18,177.08139534883722
2022-04-19,177.43927648578813
2022-04-20,177.797157622739
2022-04-21,178.15503875968992
2022-04-22,178.51291989664082
2022-04-23,178.87080103359173
2022-04-24,179.22868217054264
2022-04-25,179.58656330749355
2022-04-26,179.94444444444446
2022-04-27,180.30232558139534
2022-04-28,180.66020671834625
2022-04-29,181.01808785529715
2022-04-30,181.37596899224806
2022-05-01,181.73385012919897
2022-05-02,182.09173126614988
2022-05-03,182.4496124031008
2022-05-04,182.8074935400517
2022-05-05,183.16537467700257
2022-05-06,183.52325581395348
2022-05-07,183.8811369509044
2022-05-08,184.2390180878553
2022-05-09,184.5968992248062
2022-05-10,184.95478036175712
2022-05-11,185.31266149870802
2022-05-12,185.6705426356589
2022-05-13,186.0284237726098
2022-05-14,186.38630490956072
2022-05-15,186.74418604651163
2022-05-16,187.10206718346254
2022-05-17,187.45994832041345
2022-05-18,187.81782945736435
2022-05-19,188.17571059431523
2022-05-20,188.53359173126614
2022-05-21,188.89147286821705
2022-05-22,189.24935400516796
2022-05-23,189.60723514211887
2022-05-24,189.96511627906978
2022-05-25,190.32299741602068
2022-05-26,190.6808785529716
2022-05-27,191.03875968992247
2022-05-28,191.39664082687338
2022-05-29,191.7545219638243
2022-05-30,192.1124031007752
2022-05-31,192.4702842377261
2022-06-01,192.828165374677
2022-06-02,193.18604651162792
2022-06-03,193.5439276485788
2022-06-04,193.9018087855297
2022-06-05,194.25968992248062
2022-06-06,194.61757105943153
2022-06-07,194.97545219638243
2022-06-08,195.33333333333334
2022-06-09,195.69121447028425
2022-06-10,196.04909560723513
2022-06-11,196.40697674418604
2022-06-12,196.76485788113695
2022-06-13,197.12273901808786
2022-06-14,197.48062015503876
2022-06-15,197.83850129198967
2022-06-16,198.19638242894058
2022-06-17,198.55426356589146
2022-06-18,198.91214470284237
2022-06-19,199.27002583979328
2022-06-20,199.62790697674419
2022-06-21,199.9857881136951
2022-06-22,200.343669250646
2022-06-23,200.7015503875969
2022-06-24,201.05943152454782
2022-06-25,201.4173126614987
2022-06-26,201.7751937984496
2022-06-27,202.13307493540051
2022-06-28,202.49095607235142
2022-06-29,202.84883720930233
2022-06-30,203.20671834625324
2022-07-01,203.56459948320415
2022-07-02,203.92248062015503
2022-07-03,204.28036175710594
2022-07-04,204.63824289405684
2022-07-05,204.99612403100775
2022-07-06,205.35400516795866
2022-07-07,205.71188630490957
2022-07-08,206.06976744186048
2022-07-09,206.42764857881136
2022-07-10,206.78552971576227
2022-07-11,207.14341085271317
2022-07-12,207.50129198966408
2022-07-13,207.859173126615
2022-07-14,208.2170542635659
2022-07-15,208.5749354005168
2022-07-16,208.93281653746772
2022-07-17,209.2906976744186
2022-07-18,209.6485788113695
2022-07-19,210.0064599483204
2022-07-20,210.36434108527132
2022-07-21,210.72222222222223
2022-07-22,211.08010335917314
2022-07-23,211.43798449612405
2022-07-24,211.79586563307492
2022-07-25,212.15374677002583
2022-07-26,212.51162790697674
2022-07-27,212.86950904392765
2022-07-28,213.22739018087856
2022-07-29,213.58527131782947
2022-07-30,213.94315245478037
2022-07-31,214.30103359173125
2022-08-01,214.65891472868216
2022-08-02,215.01679586563307
2022-08-03,215.37467700258398
2022-08-04,215.7325581395349
2022-08-05,216.0904392764858
2022-08-06,216.4483204134367
2022-08-07,216.8062015503876
2022-08-08,217.1640826873385
2022-08-09,217.5219638242894
2022-08-10,217.8798449612403
2022-08-11,218.23772609819122
2022-08-12,218.59560723514213
2022-08-13,218.95348837209303
2022-08-14,219.31136950904394
2022-08-15,219.66925064599482
2022-08-16,220.02713178294573
2022-08-17,220.38501291989664
2022-08-18,220.74289405684755
2022-08-19,221.10077519379846
2022-08-20,221.45865633074936
2022-08-21,221.81653746770027
2022-08-22,222.17441860465115
2022-08-23,222.53229974160206
2022-08-24,222.89018087855297
2022-08-25,223.24806201550388
2022-08-26,223.60594315245478
2022-08-27,223.9638242894057
2022-08-28,224.3217054263566
2022-08-29,224.6795865633075
2022-08-30,225.0374677002584
2022-08-31,225.3953488372093
2022-09-01,225.7532299741602
2022-09-02,226.11111111111111
2022-09-03,226.46899224806202
2022-09-04,226.82687338501293
2022-09-05,227.18475452196384
2022-09-06,227.54263565891472
2022-09-07,227.90051679586563
2022-09-08,228.25839793281654
2022-09-09,228.61627906976744
2022-09-10,228.97416020671835
2022-09-11,229.33204134366926
2022-09-12,229.68992248062017
2022-09-13,230.04780361757105
2022-09-14,230.40568475452196
2022-09-15,230.76356589147287
2022-09-16,231.12144702842377
2022-09-17,231.47932816537468
2022-09-18,231.8372093023256
2022-09-19,232.1950904392765
2022-09-20,232.5529715762274
2022-09-21,232.9108527131783
2022-09-22,233.2687338501292
2022-09-23,233.6266149870801
2022-09-24,233.984496124031
2022-09-25,234.34237726098192
2022-09-26,234.70025839793283
2022-09-27,235.05813953488374
2022-09-28,235.41602067183462
2022-09-29,235.77390180878552
2022-09-30,236.13178294573643
2022-10-01,236.48966408268734
2022-10-02,236.84754521963825
2022-10-03,237.20542635658916
2022-10-04,237.56330749354007
2022-10-05,237.92118863049095
2022-10-06,238.27906976744185
2022-10-07,238.63695090439276
2022-10-08,238.99483204134367
2022-10-09,239.35271317829458
2022-10-10,239.7105943152455
2022-10-11,240.0684754521964
2022-10-12,240.4263565891473
2022-10-13,240.78423772609818
2022-10-14,241.1421188630491
2022-10-15,241.5
2022-10-16,241.8578811369509
2022-10-17,242.21576227390182
2022-10-18,242.57364341085272
2022-10-19,242.93152454780363
2022-10-20,243.2894056847545
2022-10-21,243.64728682170542
2022-10-22,244.00516795865633
2022-10-23,244.36304909560724
2022-10-24,244.72093023255815
2022-10-25,245.07881136950905
2022-10-26,245.43669250645996
2022-10-27,245.79457364341084
2022-10-28,246.15245478036175
2022-10-29,246.51033591731266
2022-10-30,246.86821705426357
2022-10-31,247.22609819121448
2022-11-01,247.58397932816538
2022-11-02,247.9418604651163
2022-11-03,248.29974160206717
2022-11-04,248.65762273901808
2022-11-05,249.015503875969
2022-11-06,249.3733850129199
2022-11-07,249.7312661498708
2022-11-08,250.0891472868217
2022-11-09,250.44702842377262
2022-11-10,250.80490956072353
2022-11-11,251.1627906976744
2022-11-12,251.52067183462532
2022-11-13,251.87855297157623
2022-11-14,252.23643410852713
2022-11-15,252.59431524547804
2022-11-16,252.95219638242895
