ds,yhat,yhat_lower,yhat_upper
2020-10-27,102.59617124737677,95.33089170774399,110.1612057804557
2020-10-28,102.73098094827023,96.10970770409872,110.024472807905
2020-10-29,102.74204635842253,95.86433212534266,110.3248098587906
2020-10-30,102.7302555826529,95.93062776430143,110.14281518106128
2020-10-31,102.47927719952237,95.0539572058348,109.41320105156892
2020-11-01,102.1569713182424,95.42514995250752,108.95577170147219
2020-11-02,101.76254174175259,94.93630098117562,109.11818229306799
2020-11-03,101.55620411942282,94.29257378114204,108.69519207968189
2020-11-04,101.20872257494149,94.15778139715788,108.20329988826656
2020-11-05,100.7348134659722,93.88681226399035,107.85738160938108
2020-11-06,100.2444836635517,93.53239395496433,107.45105514521403
2020-11-07,99.53067283189797,91.985151137333,106.42963958800406
2020-11-08,98.77044850196471,91.85692374160027,105.5219800899523
